,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
349,Abhishek Nayar,3,3,1,58,27,29.0,51,113.72,0,0,4,2
350,Abhishek Raut,6,5,3,56,32*,28.0,48,116.66,0,0,3,3
351,Aditya Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3
352,Cameron White,7,5,3,48,21*,24.0,33,145.45,0,0,3,3
353,Ryan Harris,8,5,1,45,15,11.25,39,115.38,0,0,2,2
354,Graeme Smith,2,2,0,44,26,22.0,39,112.82,0,0,7,0
355,Tillakaratne Dilshan,6,6,0,44,17,7.33,53,83.01,0,0,6,0
356,Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1
357,Ajit Agarkar,7,4,3,40,17,40.0,29,137.93,0,0,4,0
358,Amit Mishra,14,7,3,39,12,9.75,51,76.47,0,0,1,0
359,Michael Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0
360,Laxmi Ratan Shukla,4,2,0,36,19,18.0,26,138.46,0,0,3,2
361,Eoin Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1
362,Bodapati Sumanth,5,4,3,35,16,35.0,37,94.59,0,0,3,0
363,Aditya Dole,3,2,0,34,30,17.0,22,154.54,0,0,3,1
364,Venugopal Rao,6,5,1,34,24,8.5,43,79.06,0,0,3,1
365,Daniel Vettori,3,3,2,33,19*,33.0,27,122.22,0,0,4,0
366,Sanath Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0,4,1
367,MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2
368,Chaminda Vaas,6,5,1,30,16,7.5,34,88.23,0,0,1,1
369,Ravichandran Ashwin,12,6,2,30,11*,7.5,40,75.0,0,0,2,0
370,Rahul Sharma,6,4,1,29,14*,9.66,26,111.53,0,0,3,1
371,Mitchell Marsh,3,2,0,28,15,14.0,30,93.33,0,0,1,1
372,Mohammad Kaif,4,3,0,28,14,9.33,30,93.33,0,0,2,0
373,Vinay Kumar,14,5,1,27,10*,6.75,32,84.37,0,0,1,0
374,Sridharan Sriram,1,1,0,27,27,27.0,29,93.1,0,0,3,0
375,Shanthakumaran Sreesanth,6,3,3,27,15*,0.0,21,128.57,0,0,5,0
376,JM Kemp,5,2,0,26,22,13.0,24,108.33,0,0,1,1
377,Rajat Bhatia,5,3,0,24,21,8.0,17,141.17,0,0,1,2
378,Zaheer Khan,14,4,3,24,23*,24.0,13,184.61,0,0,3,1
379,Ashish Nehra,4,2,1,23,22*,23.0,20,115.0,0,0,2,1
380,Murali Kartik,10,2,0,22,21,11.0,22,100.0,0,0,2,0
381,Dwayne Smith,3,3,1,22,13*,11.0,25,88.0,0,0,1,1
382,Aaron Finch,1,1,0,21,21,21.0,21,100.0,0,0,0,1
383,Siddharth Trivedi,11,4,2,20,9,10.0,14,142.85,0,0,3,1
384,Damien Martyn,1,1,0,19,19,19.0,24,79.16,0,0,1,0
385,Karan Goel,6,2,1,18,17*,18.0,20,90.0,0,0,1,1
386,Lakshmipathy Balaji,7,3,1,18,15,9.0,20,90.0,0,0,1,1
387,George Bailey,1,1,0,18,18,18.0,27,66.66,0,0,2,0
388,Doug Bollinger,8,2,2,18,16*,0.0,17,105.88,0,0,1,1
389,Chandan Madan,1,1,0,15,15,15.0,19,78.94,0,0,3,0
390,Sumit Narwal,5,3,1,14,12,7.0,12,116.66,0,0,2,0
391,Mark Boucher,5,2,1,13,11*,13.0,10,130.0,0,0,0,1
392,Dale Steyn,15,4,0,13,8,3.25,17,76.47,0,0,2,0
393,Shaun Tait,8,2,1,12,11,12.0,13,92.3,0,0,0,1
394,Dimitri Mascarenhas,2,2,1,12,9*,12.0,10,120.0,0,0,0,0
395,Brett Lee,4,3,2,11,7*,11.0,9,122.22,0,0,1,0
396,Moises Henriques,1,1,0,11,11,11.0,5,220.0,0,0,2,0
397,Kemar Roach,2,1,0,10,10,10.0,9,111.11,0,0,1,0
398,Shane Warne,14,7,2,10,4,2.0,19,52.63,0,0,0,0
399,Thilan Thushara,4,2,1,10,8,10.0,11,90.9,0,0,0,0
400,Pradeep Sangwan,8,2,1,10,6*,10.0,14,71.42,0,0,0,0
401,Bipul Sharma,5,2,2,9,8*,0.0,7,128.57,0,0,1,0
402,Morne Morkel,2,2,1,9,7*,9.0,16,56.25,0,0,1,0
403,RP Singh,12,5,3,9,4*,4.5,19,47.36,0,0,0,0
404,Jaskaran Singh,6,4,3,8,4*,8.0,11,72.72,0,0,0,0
405,Shreevats Goswami,1,1,0,8,8,8.0,10,80.0,0,0,2,0
406,Stuart Binny,1,1,0,8,8,8.0,5,160.0,0,0,1,0
407,Vikramjeet Malik,3,1,0,6,6,6.0,5,120.0,0,0,1,0
408,Ishant Sharma,7,2,1,6,6*,6.0,17,35.29,0,0,0,0
409,Anil Kumble,16,5,5,6,2*,0.0,11,54.54,0,0,0,0
410,Swapnil Asnodkar,2,2,0,5,5,2.5,4,125.0,0,0,1,0
411,Abhimanyu Mithun,1,1,0,5,5,5.0,4,125.0,0,0,1,0
412,Ramesh Powar,7,2,1,5,3,5.0,8,62.5,0,0,0,0
413,Amit Uniyal,2,2,1,4,4*,4.0,7,57.14,0,0,0,0
414,Reetinder Sodhi,3,1,1,4,4*,0.0,2,200.0,0,0,1,0
415,Munaf Patel,4,2,1,4,4*,4.0,5,80.0,0,0,0,0
416,Praveen Kumar,12,4,2,4,3*,2.0,8,50.0,0,0,0,0
417,Dirk Nannes,9,2,1,4,3,4.0,13,30.76,0,0,0,0
418,Arun Karthik,1,1,1,3,3*,0.0,5,60.0,0,0,0,0
419,Umesh Yadav,7,1,1,3,3*,0.0,4,75.0,0,0,0,0
420,Sudeep Tyagi,6,1,1,3,3*,0.0,4,75.0,0,0,0,0
421,Pragyan Ojha,16,6,3,3,2,1.0,8,37.5,0,0,0,0
422,KP Appanna,2,2,1,2,1*,2.0,3,66.66,0,0,0,0
423,Rohan Gavaskar,2,1,0,2,2,2.0,8,25.0,0,0,0,0
424,Juan Theron,7,2,0,2,2,1.0,5,40.0,0,0,0,0
425,Manpreet Gony,3,1,0,2,2,2.0,6,33.33,0,0,0,0
426,Dilhara Fernando,5,1,1,2,2*,0.0,2,100.0,0,0,0,0
427,Azhar Bilakhia,1,1,0,2,2,2.0,4,50.0,0,0,0,0
428,Pankaj Singh,2,1,0,1,1,1.0,2,50.0,0,0,0,0
429,Shalabh Srivastava,8,2,1,1,1*,1.0,2,50.0,0,0,0,0
430,Roelof van der Merwe,1,1,0,1,1,1.0,2,50.0,0,0,0,0
431,Shane Bond,8,1,0,1,1,1.0,2,50.0,0,0,0,0
432,Chris Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
433,Virat Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
434,Sachin Tendulkar,16,16,3,553,100*,42.53,488,113.31,1,2,67,5
435,Shaun Marsh,14,13,1,504,95,42.0,344,146.51,0,4,52,20
436,Michael Hussey,14,14,2,492,83*,41.0,414,118.84,0,4,53,6
437,Paul Valthaty,14,14,1,463,120*,35.61,338,136.98,1,2,56,20
438,Suresh Raina,16,16,2,438,73*,31.28,325,134.76,0,4,36,17
439,Murali Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20
440,Virender Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
441,Jacques Kallis,15,14,2,424,80*,35.33,378,112.16,0,4,46,6
442,Shikhar Dhawan,14,14,2,400,95*,33.33,310,129.03,0,2,47,7
443,Subramaniam Badrinath,16,13,6,396,71*,56.57,313,126.51,0,5,38,9
444,Ambati Rayudu,16,16,2,395,63*,28.21,350,112.85,0,4,44,9
445,MS Dhoni,16,13,4,392,70*,43.55,247,158.7,0,2,25,23
446,Adam Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18
447,Gautam Gambhir,15,15,4,378,75*,34.36,317,119.24,0,2,44,3
448,Rohit Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
449,Manoj Tiwary,15,14,7,359,61*,51.28,325,110.46,0,1,26,14
450,Kumar Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5
451,Brendon McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16
452,Rahul Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2
453,Yuvraj Singh,14,13,3,343,66*,34.3,261,131.41,0,2,24,18
454,Venugopal Rao,14,14,2,336,60,28.0,280,120.0,0,1,30,13
455,Shane Watson,11,11,1,330,89*,33.0,253,130.43,0,1,31,17
456,David Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11
457,AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
458,Mahela Jayawardena,13,13,0,299,76,23.0,257,116.34,0,3,35,5
459,Jesse Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11
460,Brad Hodge,14,14,6,285,51*,35.62,236,120.76,0,1,26,9
461,Yusuf Pathan,15,11,1,283,47*,28.3,201,140.79,0,0,24,13
462,Ravindra Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14
463,Dinesh Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7
464,Robin Uthappa,14,13,3,264,45,26.4,209,126.31,0,0,27,10
465,Sunny Sohal,11,10,0,249,62,24.9,191,130.36,0,2,25,10
466,Manish Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6
467,Johan Botha,10,9,4,230,67*,46.0,198,116.16,0,1,20,2
468,Tillakaratne Dilshan,10,10,2,226,59*,28.25,180,125.55,0,2,33,3
469,Bharat Chipli,14,13,5,207,61*,25.87,170,121.76,0,1,21,4
470,JP Duminy,10,10,0,205,55,20.5,174,117.81,0,1,9,8
471,Parthiv Patel,14,13,3,202,37*,20.2,183,110.38,0,0,25,2
472,James Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3
473,Dan Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7
474,Saurabh Tiwary,16,13,5,187,42*,23.37,188,99.46,0,0,13,5
475,Dwaraka Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4
476,Ross Taylor,12,11,6,181,47*,36.2,152,119.07,0,0,11,7
477,Ashok Menaria,13,10,1,180,34,20.0,152,118.42,0,0,10,10
478,Naman Ojha,14,14,1,160,29,12.3,161,99.37,0,0,11,11
479,Irfan Pathan,14,12,4,150,44*,18.75,138,108.69,0,0,12,6
480,Kieron Pollard,16,13,3,146,28,14.6,133,109.77,0,0,12,6
481,Mayank Agarwal,8,7,0,141,41,20.14,120,117.5,0,0,16,4
482,Albie Morkel,15,13,7,138,30*,23.0,102,135.29,0,0,8,8
483,Eoin Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3
484,Andrew Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,9,3
485,Ajinkya Rahane,10,7,1,120,52,20.0,98,122.44,0,1,12,2
486,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2
487,Mithun Manhas,10,10,0,114,35,11.4,123,92.68,0,0,8,4
488,Yogesh Nagar,11,10,3,111,23,15.85,100,111.0,0,0,6,6
489,James Franklin,8,5,3,107,45*,53.5,78,137.17,0,0,10,2
490,Ryan ten Doeschate,6,3,1,107,70*,53.5,73,146.57,0,1,9,5
491,Cameron White,6,6,2,104,31*,26.0,109,95.41,0,0,6,2
492,Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
493,Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
494,Ryan McLaren,6,4,1,90,51*,30.0,96,93.75,0,1,7,1
495,Srikkanth Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3
496,Travis Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2
497,Michael Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0
498,Manvinder Bisla,5,5,0,72,27,14.4,89,80.89,0,0,8,0
499,Wriddhiman Saha,7,3,2,68,46*,68.0,63,107.93,0,0,2,4
500,Amit Mishra,14,9,5,68,25*,17.0,49,138.77,0,0,9,1
501,Mohnish Mishra,6,5,1,67,37*,16.75,60,111.66,0,0,5,2
502,Tirumalasetti Suman,8,7,1,65,36,10.83,51,127.45,0,0,5,5
503,David Hussey,8,8,2,64,21*,10.66,63,101.58,0,0,3,3
504,Abhishek Nayar,10,9,2,61,17*,8.71,67,91.04,0,0,9,0
505,Abhishek Raut,7,4,1,60,25,20.0,58,103.44,0,0,5,1
506,Luke Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2
507,Mitchell Marsh,5,3,1,50,37,25.0,49,102.04,0,0,2,3
508,Sourav Ganguly,4,3,1,50,32*,25.0,59,84.74,0,0,3,2
509,Vinay Kumar,13,7,1,50,18,8.33,47,106.38,0,0,4,1
510,Amit Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0
511,Callum Ferguson,5,4,2,48,16,24.0,54,88.88,0,0,6,0
512,Piyush Chawla,12,6,3,48,15,16.0,55,87.27,0,0,2,2
513,Mandeep Singh,6,5,1,47,15*,11.75,41,114.63,0,0,4,1
514,Aaron Finch,6,6,0,47,25,7.83,46,102.17,0,0,3,3
515,Raiphi Gomez,11,8,3,46,26*,9.2,50,92.0,0,0,4,1
516,VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0,3,2
517,Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,6,1
518,Graeme Smith,4,4,0,42,24,10.5,51,82.35,0,0,6,0
519,Mohammad Kaif,8,4,1,41,15,13.66,33,124.24,0,0,5,0
520,Morne Morkel,11,5,3,40,16*,20.0,25,160.0,0,0,3,2
521,Stuart Binny,6,2,1,37,30,37.0,31,119.35,0,0,2,1
522,Wayne Parnell,8,5,2,37,16,12.33,39,94.87,0,0,2,1
523,Dale Steyn,12,5,1,36,13,9.0,35,102.85,0,0,3,0
524,Cheteshwar Pujara,7,3,0,34,25,11.33,31,109.67,0,0,4,0
525,Asad Pathan,6,5,1,33,14,8.25,16,206.25,0,0,5,2
526,Ryan Harris,13,7,2,31,17,6.2,39,79.48,0,0,3,0
527,Shreevats Goswami,5,4,0,29,22,7.25,29,100.0,0,0,5,0
528,Shakib Al Hasan,7,3,1,29,26,14.5,22,131.81,0,0,4,0
529,Ishank Jaggi,2,2,0,28,25,14.0,37,75.67,0,0,3,0
530,Abhimanyu Mithun,12,6,3,27,11,9.0,20,135.0,0,0,3,1
531,Praveen Kumar,13,7,4,27,15*,9.0,31,87.09,0,0,2,1
532,Owais Shah,3,2,0,26,23,13.0,15,173.33,0,0,1,2
533,Nathan McCullum,2,2,1,26,15,26.0,22,118.18,0,0,0,1
534,Rajat Bhatia,14,6,3,25,11,8.33,22,113.63,0,0,3,0
535,Rajagopal Sathish,9,3,1,25,18*,12.5,34,73.52,0,0,1,0
536,Rahul Sharma,14,5,2,24,13,8.0,21,114.28,0,0,1,2
537,Thisara Perera,4,2,0,23,22,11.5,27,85.18,0,0,4,0
538,Bipul Sharma,4,3,2,23,16*,23.0,18,127.77,0,0,1,0
539,Daniel Vettori,13,4,3,23,18*,23.0,28,82.14,0,0,1,1
540,Matthew Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0
541,Colin Ingram,3,3,1,21,13*,10.5,26,80.76,0,0,2,0
542,Zaheer Khan,15,2,0,21,21,10.5,24,87.5,0,0,2,0
543,Y Gnaneswara Rao,2,1,0,19,19,19.0,17,111.76,0,0,3,0
544,Faiz Fazal,2,2,0,19,16,9.5,19,100.0,0,0,3,0
545,Johan van der Wath,3,3,1,18,14*,9.0,16,112.5,0,0,1,1
546,Sachin Rana,2,1,0,18,18,18.0,16,112.5,0,0,2,0
547,Kedar Jadhav,6,4,1,18,12,6.0,23,78.26,0,0,1,0
548,Brad Haddin,1,1,0,18,18,18.0,11,163.63,0,0,2,1
549,Dishant Yagnik,7,4,3,16,10*,16.0,22,72.72,0,0,1,0
550,Iqbal Abdulla,15,2,2,15,12*,0.0,12,125.0,0,0,1,0
551,Syed Mohammad,5,2,2,15,13*,0.0,12,125.0,0,0,2,0
552,Roelof van der Merwe,4,4,4,14,8*,0.0,16,87.5,0,0,1,0
553,Harpreet Singh,2,2,1,14,13,14.0,20,70.0,0,0,0,0
554,Laxmi Ratan Shukla,1,1,0,14,14,14.0,10,140.0,0,0,2,0
555,Sreenath Aravind,13,2,2,13,11*,0.0,8,162.5,0,0,2,0
556,Balachandra Akhil,1,1,0,13,13,13.0,9,144.44,0,0,0,1
557,Murali Kartik,6,3,2,12,11,12.0,15,80.0,0,0,1,0
558,Dwayne Bravo,6,2,1,11,6*,11.0,6,183.33,0,0,1,1
559,Ramesh Powar,5,3,2,11,8*,11.0,13,84.61,0,0,0,0
560,Shane Warne,13,4,2,10,5*,5.0,20,50.0,0,0,1,0
561,Tim Paine,2,2,0,10,8,5.0,26,38.46,0,0,0,0
562,Abhishek Jhunjhunwala,3,2,0,10,10,5.0,18,55.55,0,0,2,0
563,Shaun Tait,4,2,1,10,10*,10.0,10,100.0,0,0,1,0
564,Swapnil Asnodkar,1,1,0,9,9,9.0,9,100.0,0,0,1,0
565,Siddharth Chitnis,1,1,0,9,9,9.0,9,100.0,0,0,1,0
566,Charl Langeveldt,3,1,0,8,8,8.0,8,100.0,0,0,0,1
567,Andrew McDonald,1,1,0,8,8,8.0,7,114.28,0,0,0,0
568,Lasith Malinga,16,4,1,8,7,2.66,9,88.88,0,0,0,1
569,Arun Karthik,3,2,0,7,6,3.5,8,87.5,0,0,1,0
570,Ishan Malhotra,1,1,1,7,7*,0.0,4,175.0,0,0,1,0
571,Ajit Agarkar,7,2,1,7,7*,7.0,6,116.66,0,0,1,0
572,Mark Boucher,4,3,2,6,5,6.0,6,100.0,0,0,0,0
573,Muttiah Muralitharan,5,1,1,5,5*,0.0,8,62.5,0,0,0,0
574,Brett Lee,12,4,1,5,2*,1.66,9,55.55,0,0,0,0
575,Scott Styris,2,1,1,5,5*,0.0,2,250.0,0,0,1,0
576,Pinal Shah,2,1,0,5,5,5.0,5,100.0,0,0,1,0
577,Ishant Sharma,12,5,5,4,1*,0.0,5,80.0,0,0,0,0
578,Lakshmipathy Balaji,14,2,2,4,3*,0.0,2,200.0,0,0,0,0
579,Shalabh Srivastava,6,2,2,4,3*,0.0,3,133.33,0,0,0,0
580,Sridharan Sriram,1,1,0,4,4,4.0,7,57.14,0,0,0,0
581,Ryan Ninan,2,1,0,3,3,3.0,6,50.0,0,0,0,0
582,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
583,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
584,Shikhar Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18
585,Ajinkya Rahane,16,16,2,560,103*,40.0,433,129.33,1,3,73,10
586,Virender Sehwag,16,16,1,495,87*,33.0,307,161.23,0,5,57,19
587,Cameron White,13,13,2,479,78,43.54,320,149.68,0,5,41,20
588,Rahul Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4
589,Suresh Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19
590,Rohit Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,39,18
591,Mandeep Singh,16,16,0,432,75,27.0,342,126.31,0,2,53,7
592,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
593,Robin Uthappa,16,16,1,405,69,27.0,343,118.07,0,2,38,10
594,Faf du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17
595,David Hussey,16,15,3,396,68*,33.0,305,129.83,0,2,28,17
596,Dwayne Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20
597,Virat Kohli,16,15,2,364,73*,28.0,326,111.65,0,2,33,9
598,Steve Smith,15,14,5,362,47*,40.22,267,135.58,0,0,24,14
599,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,26,9
600,Owais Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16
601,Murali Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10
602,Shaun Marsh,13,13,2,336,68*,30.54,280,120.0,0,2,39,7
603,Mahela Jayawardena,16,15,3,335,56*,27.91,298,112.41,0,3,39,3
604,Ambati Rayudu,17,15,6,333,81*,37.0,252,132.14,0,2,21,14
605,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
606,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
607,Kevin Pietersen,8,8,3,305,103*,61.0,207,147.34,1,1,22,20
608,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
609,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5
610,Sourav Ganguly,15,15,0,268,45,17.86,271,98.89,0,0,30,4
611,Michael Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8
612,Manoj Tiwary,16,15,5,260,59,26.0,246,105.69,0,1,21,3
613,Jesse Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8
614,David Warner,8,8,1,256,109*,36.57,156,164.1,1,1,28,14
615,Naman Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,21,13
616,Shane Watson,7,7,1,255,90*,42.5,168,151.78,0,2,26,14
617,Brad Hodge,12,12,4,245,48*,30.62,175,140.0,0,0,18,9
618,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11
619,Dinesh Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2
620,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.4,0,1,19,15
621,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
622,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
623,Ashok Menaria,15,12,1,220,40,20.0,202,108.91,0,0,14,8
624,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
625,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4
626,Ross Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7
627,Subramaniam Badrinath,15,9,2,196,57,28.0,181,108.28,0,1,23,2
628,Yusuf Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,10,7
629,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4
630,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9
631,Saurabh Tiwary,15,11,3,191,36*,23.87,170,112.35,0,0,9,8
632,Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8
633,Irfan Pathan,17,12,5,176,42*,25.14,126,139.68,0,0,14,6
634,Adam Gilchrist,7,7,2,172,64*,34.4,143,120.27,0,1,21,4
635,Dwayne Smith,7,6,2,157,87*,39.25,98,160.2,0,1,18,7
636,Yogesh Nagar,13,8,3,152,43*,30.4,133,114.28,0,0,13,3
637,Dan Christian,7,7,2,145,39,29.0,118,122.88,0,0,8,6
638,Manish Pandey,10,9,2,143,80*,20.42,112,127.67,0,1,12,6
639,Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0
640,Venugopal Rao,10,7,1,132,36,22.0,126,104.76,0,0,8,5
641,Angelo Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4
642,Debabrata Das,15,10,7,126,35*,42.0,93,135.48,0,0,9,6
643,Marlon Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5
644,Mithun Manhas,10,7,3,120,42*,30.0,96,125.0,0,0,10,4
645,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
646,Harbhajan Singh,17,11,2,108,33,12.0,80,135.0,0,0,14,3
647,Albie Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6
648,Piyush Chawla,16,12,4,106,21*,13.25,88,120.45,0,0,9,4
649,David Miller,6,6,3,98,34*,32.66,75,130.66,0,0,6,4
650,Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0
651,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3
652,Stuart Binny,8,6,2,90,30,22.5,67,134.32,0,0,9,3
653,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
654,Gurkeerat Mann Singh,5,4,1,86,29*,28.66,52,165.38,0,0,12,2
655,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
656,Herschelle Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,8,2
657,Laxmi Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5
658,Akshath Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2
659,Bipul Sharma,5,4,1,72,35*,24.0,47,153.19,0,0,6,3
660,Shreevats Goswami,11,6,1,69,24,13.8,67,102.98,0,0,4,1
661,Vinay Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2
662,Siddharth Chitnis,6,4,1,66,38,22.0,62,106.45,0,0,7,1
663,Johan Botha,11,7,3,58,14*,14.5,54,107.4,0,0,4,1
664,Aaron Finch,2,2,0,55,30,27.5,51,107.84,0,0,8,0
665,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3
666,Callum Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0
667,Andrew McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2
668,Andre Russell,4,2,0,47,31,23.5,26,180.76,0,0,3,3
669,Abhishek Nayar,4,4,1,45,24,15.0,49,91.83,0,0,2,1
670,Brett Lee,10,3,1,42,25,21.0,20,210.0,0,0,2,4
671,Bhuvneshwar Kumar,11,9,6,40,11*,13.33,40,100.0,0,0,4,0
672,Kevon Cooper,6,4,2,38,14,19.0,20,190.0,0,0,3,3
673,Bharat Chipli,5,4,1,37,25*,12.33,35,105.71,0,0,3,2
674,Pawan Negi,8,4,2,36,14,18.0,29,124.13,0,0,4,1
675,Unmukt Chand,2,2,0,36,18,18.0,34,105.88,0,0,2,3
676,Rajat Bhatia,17,6,3,35,12,11.66,28,125.0,0,0,4,0
677,Praveen Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1
678,Ashish Reddy,9,6,2,35,10*,8.75,29,120.68,0,0,3,1
679,Robin Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,3,1
680,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1
681,Paul Valthaty,6,6,0,30,13,5.0,51,58.82,0,0,4,0
682,Murali Kartik,11,4,4,26,14*,0.0,21,123.8,0,0,1,1
683,Dishant Yagnik,5,3,2,25,10*,25.0,13,192.3,0,0,5,0
684,Abhishek Jhunjhunwala,5,3,1,24,19,12.0,26,92.3,0,0,1,1
685,Ryan ten Doeschate,3,3,1,21,11,10.5,21,100.0,0,0,1,1
686,Wayne Parnell,6,5,1,19,11,4.75,27,70.37,0,0,2,0
687,Alfonso Thomas,4,2,0,19,12,9.5,15,126.66,0,0,1,1
688,Srikkanth Anirudha,4,2,2,19,18*,0.0,7,271.42,0,0,1,2
689,Dale Steyn,12,6,1,19,7,3.8,21,90.47,0,0,0,1
690,Ravichandran Ashwin,19,5,2,18,8,6.0,15,120.0,0,0,2,0
691,Ankit Sharma,9,4,1,18,15,6.0,13,138.46,0,0,0,2
692,Ryan Harris,5,2,1,18,15*,18.0,11,163.63,0,0,1,1
693,Cheteshwar Pujara,3,3,0,17,11,5.66,22,77.27,0,0,1,1
694,Amit Mishra,14,5,2,16,8*,5.33,20,80.0,0,0,1,0
695,Harmeet Singh Bansal,7,2,1,15,14,15.0,7,214.28,0,0,3,0
696,Tirumalasetti Suman,2,2,0,15,10,7.5,19,78.94,0,0,1,1
697,Brad Hogg,9,3,1,15,13,7.5,16,93.75,0,0,1,0
698,Paras Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0
699,Ishank Jaggi,3,3,1,15,10*,7.5,21,71.42,0,0,0,0
700,Harshal Patel,12,3,1,15,10,7.5,15,100.0,0,0,1,0
