,player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
222,JDP Oram,106,11,110,9.0,244.0,362.0,15,7.07,96.36,10.0,8.9,40.22,27.11,7.0,0.0
223,JDS Neesham,92,8,93,8.0,222.0,342.0,14,6.57,98.92,8.6,9.24,42.75,27.75,2.0,0.0
224,JE Taylor,3,0,4,6.0,122.0,167.0,5,0.6,75.0,0.0,8.21,27.83,20.33,0.0,0.0
225,JEC Franklin,327,34,309,9.0,155.0,225.0,19,17.21,105.83,11.0,8.71,25.0,17.22,6.0,0.0
226,JH Kallis,2427,299,2291,65.0,1799.0,2348.0,98,24.77,105.94,13.05,7.83,36.12,27.68,30.0,0.0
227,JJ Bumrah,56,5,68,148.0,2857.0,3499.0,120,0.47,82.35,7.35,7.35,23.64,19.3,11.0,0.0
228,JJ Roy,329,48,264,0.0,0.0,0.0,13,25.31,124.62,18.18,0.0,0.0,0.0,8.0,0.0
229,JJ van der Wath,18,2,17,3.0,76.0,134.0,3,6.0,105.88,11.76,10.58,44.67,25.33,0.0,0.0
230,JL Denly,0,0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,JL Pattinson,15,2,13,11.0,222.0,321.0,10,1.5,115.38,15.38,8.68,29.18,20.18,2.0,0.0
232,JM Bairstow,1291,188,935,0.0,0.0,0.0,39,33.1,138.07,20.11,0.0,0.0,0.0,20.0,4.0
233,JM Kemp,26,2,25,3.0,47.0,58.0,5,5.2,104.0,8.0,7.4,19.33,15.67,1.0,0.0
234,JM Sharma,234,34,149,0.0,0.0,0.0,10,23.4,157.05,22.82,0.0,0.0,0.0,9.0,2.0
235,JO Holder,247,30,205,49.0,873.0,1199.0,38,6.5,120.49,14.63,8.24,24.47,17.82,11.0,0.0
236,JP Duminy,2029,205,1680,23.0,701.0,847.0,79,25.68,120.77,12.2,7.25,36.83,30.48,30.0,0.0
237,JP Faulkner,527,59,406,61.0,1287.0,1849.0,60,8.78,129.8,14.53,8.62,30.31,21.1,16.0,0.0
238,JPR Scantlebury-Searles,8,1,6,2.0,45.0,89.0,3,2.67,133.33,16.67,11.87,44.5,22.5,4.0,0.0
239,JR Hazlewood,18,1,27,32.0,565.0,754.0,24,0.75,66.67,3.7,8.01,23.56,17.66,1.0,0.0
240,JR Hopes,417,60,314,14.0,369.0,562.0,20,20.85,132.8,19.11,9.14,40.14,26.36,5.0,0.0
241,JR Philippe,78,10,80,0.0,0.0,0.0,5,15.6,97.5,12.5,0.0,0.0,0.0,0.0,0.0
242,Jaskaran Singh,8,0,11,6.0,111.0,174.0,7,1.14,72.73,0.0,9.41,29.0,18.5,0.0,0.0
243,Joginder Sharma,36,3,30,12.0,272.0,421.0,16,2.25,120.0,10.0,9.29,35.08,22.67,5.0,0.0
244,K Goel,218,26,239,0.0,67.0,94.0,16,13.62,91.21,10.88,8.42,940000.0,670000.0,9.0,0.0
245,K Gowtham,186,25,115,18.0,486.0,677.0,28,6.64,161.74,21.74,8.36,37.61,27.0,14.0,0.0
246,K Kartikeya,3,0,6,5.0,78.0,103.0,4,0.75,50.0,0.0,7.92,20.6,15.6,0.0,0.0
247,K Rabada,186,22,188,102.0,1498.0,2023.0,63,2.95,98.94,11.7,8.1,19.83,14.69,21.0,0.0
248,K Upadhyay,12,1,9,0.0,56.0,81.0,3,4.0,133.33,11.11,8.68,810000.0,560000.0,1.0,0.0
249,K Yadav,0,0,4,0.0,12.0,17.0,1,0.0,0.0,0.0,8.5,170000.0,120000.0,0.0,0.0
250,KA Jamieson,65,8,55,9.0,179.0,271.0,9,7.22,118.18,14.55,9.08,30.11,19.89,2.0,0.0
251,KA Pollard,3437,445,2447,69.0,1586.0,2200.0,179,19.2,140.46,18.19,8.32,31.88,22.99,97.0,0.0
252,KAJ Roach,10,1,9,0.0,52.0,80.0,2,5.0,111.11,11.11,9.23,800000.0,520000.0,1.0,0.0
253,KB Arun Karthik,51,5,53,0.0,0.0,0.0,8,6.38,96.23,9.43,0.0,0.0,0.0,12.0,2.0
254,KC Cariappa,24,2,21,8.0,224.0,349.0,11,2.18,114.29,9.52,9.35,43.62,28.0,2.0,0.0
255,KC Sangakkara,1687,222,1424,0.0,0.0,0.0,68,24.81,118.47,15.59,0.0,0.0,0.0,45.0,9.0
256,KD Karthik,4377,560,3386,0.0,0.0,0.0,207,21.14,129.27,16.54,0.0,0.0,0.0,133.0,34.0
257,KH Pandya,1326,171,1003,61.0,1725.0,2066.0,98,13.53,132.2,17.05,7.19,33.87,28.28,30.0,0.0
258,KJ Abbott,13,1,8,2.0,102.0,182.0,5,2.6,162.5,12.5,10.71,91.0,51.0,0.0,0.0
259,KK Ahmed,1,0,7,48.0,809.0,1116.0,34,0.03,14.29,0.0,8.28,23.25,16.85,1.0,0.0
260,KK Cooper,116,17,70,33.0,600.0,789.0,25,4.64,165.71,24.29,7.89,23.91,18.18,11.0,0.0
261,KK Nair,1496,200,1192,0.0,0.0,0.0,68,22.0,125.5,16.78,0.0,0.0,0.0,26.0,0.0
262,KL Nagarkoti,22,1,34,5.0,185.0,287.0,12,1.83,64.71,2.94,9.31,57.4,37.0,9.0,0.0
263,KL Rahul,3895,491,2933,0.0,0.0,0.0,99,39.34,132.8,16.74,0.0,0.0,0.0,59.0,5.0
264,KM Jadhav,1196,141,1002,0.0,0.0,0.0,80,14.95,119.36,14.07,0.0,0.0,0.0,30.0,7.0
265,KMA Paul,18,2,26,9.0,180.0,239.0,8,2.25,69.23,7.69,7.97,26.56,20.0,6.0,0.0
266,KMDN Kulasekara,5,1,3,5.0,107.0,122.0,5,1.0,166.67,33.33,6.84,24.4,21.4,3.0,0.0
267,KP Appanna,2,0,4,9.0,222.0,291.0,13,0.15,50.0,0.0,7.86,32.33,24.67,3.0,0.0
268,KP Pietersen,1001,131,758,7.0,180.0,218.0,36,27.81,132.06,17.28,7.27,31.14,25.71,12.0,0.0
269,KR Sen,0,0,3,8.0,157.0,240.0,7,0.0,0.0,0.0,9.17,30.0,19.62,2.0,0.0
270,KS Bharat,199,20,168,0.0,0.0,0.0,8,24.88,118.45,11.9,0.0,0.0,0.0,4.0,1.0
271,KS Sharma,4,1,4,0.0,0.0,0.0,1,4.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0
272,KS Williamson,2105,247,1707,0.0,18.0,31.0,74,28.45,123.32,14.47,10.33,310000.0,180000.0,39.0,0.0
273,KV Sharma,317,32,285,59.0,1239.0,1645.0,67,4.73,111.23,11.23,7.97,27.88,21.0,12.0,0.0
274,KW Richardson,36,3,39,19.0,345.0,479.0,15,2.4,92.31,7.69,8.33,25.21,18.16,5.0,0.0
275,Kamran Akmal,128,21,78,0.0,0.0,0.0,6,21.33,164.1,26.92,0.0,0.0,0.0,5.0,4.0
276,Kamran Khan,3,0,5,10.0,177.0,248.0,9,0.33,60.0,0.0,8.41,24.8,17.7,4.0,0.0
277,Karanveer Singh,12,1,17,12.0,213.0,323.0,9,1.33,70.59,5.88,9.1,26.92,17.75,2.0,0.0
278,Kartik Tyagi,13,1,16,14.0,388.0,576.0,16,0.81,81.25,6.25,8.91,41.14,27.71,3.0,0.0
279,Kuldeep Yadav,105,10,130,61.0,1219.0,1671.0,59,1.78,80.77,7.69,8.22,27.39,19.98,10.0,0.0
280,L Ablish,0,0,2,3.0,45.0,76.0,3,0.0,0.0,0.0,10.13,25.33,15.0,0.0,0.0
281,L Balaji,36,3,50,76.0,1574.0,2083.0,73,0.49,72.0,6.0,7.94,27.41,20.71,9.0,0.0
282,L Ronchi,34,7,37,0.0,0.0,0.0,5,6.8,91.89,18.92,0.0,0.0,0.0,4.0,0.0
283,LA Carseldine,81,11,71,1.0,7.0,6.0,5,16.2,114.08,15.49,5.14,6.0,7.0,4.0,0.0
284,LA Pomersbach,302,38,251,0.0,0.0,0.0,16,18.88,120.32,15.14,0.0,0.0,0.0,8.0,0.0
285,LE Plunkett,1,0,3,4.0,154.0,228.0,7,0.14,33.33,0.0,8.88,57.0,38.5,2.0,0.0
286,LH Ferguson,67,8,47,38.0,805.0,1093.0,35,1.91,142.55,17.02,8.15,28.76,21.18,5.0,0.0
287,LJ Wright,106,19,63,2.0,75.0,125.0,7,15.14,168.25,30.16,10.0,62.5,37.5,2.0,0.0
288,LMP Simmons,1079,153,878,1.0,18.0,34.0,29,37.21,122.89,17.43,11.33,34.0,18.0,10.0,0.0
289,LPC Silva,40,6,27,0.0,6.0,21.0,3,13.33,148.15,22.22,21.0,210000.0,60000.0,3.0,0.0
290,LR Shukla,405,49,358,15.0,326.0,458.0,43,9.42,113.13,13.69,8.43,30.53,21.73,15.0,0.0
291,LRPL Taylor,1017,112,847,0.0,13.0,24.0,54,18.83,120.07,13.22,11.08,240000.0,130000.0,18.0,0.0
292,LS Livingstone,549,78,352,6.0,150.0,215.0,23,23.87,155.97,22.16,8.6,35.83,25.0,12.0,0.0
293,Lalit Yadav,229,25,227,8.0,194.0,253.0,17,13.47,100.88,11.01,7.82,31.62,24.25,14.0,0.0
294,M Ashwin,35,3,50,35.0,873.0,1129.0,42,0.83,70.0,6.0,7.76,32.26,24.94,7.0,0.0
295,M Jansen,9,1,11,9.0,241.0,325.0,10,0.9,81.82,9.09,8.09,36.11,26.78,4.0,0.0
296,M Kaif,259,28,258,0.0,0.0,0.0,22,11.77,100.39,10.85,0.0,0.0,0.0,16.0,0.0
297,M Kartik,113,8,109,31.0,1182.0,1418.0,55,2.05,103.67,7.34,7.2,45.74,38.13,18.0,0.0
298,M Klinger,73,9,78,0.0,0.0,0.0,4,18.25,93.59,11.54,0.0,0.0,0.0,0.0,0.0
299,M Manhas,514,53,486,0.0,42.0,42.0,38,13.53,105.76,10.91,6.0,420000.0,420000.0,20.0,0.0
300,M Markande,27,3,30,17.0,365.0,522.0,20,1.35,90.0,10.0,8.58,30.71,21.47,5.0,0.0
301,M Morkel,126,16,93,77.0,1699.0,2136.0,70,1.8,135.48,17.2,7.54,27.74,22.06,11.0,0.0
302,M Muralitharan,20,1,30,64.0,1581.0,1765.0,66,0.3,66.67,3.33,6.7,27.58,24.7,14.0,0.0
303,M Ntini,11,2,19,7.0,213.0,257.0,9,1.22,57.89,10.53,7.24,36.71,30.43,1.0,0.0
304,M Prasidh Krishna,9,0,24,50.0,1231.0,1741.0,51,0.18,37.5,0.0,8.49,34.82,24.62,9.0,0.0
305,M Rawat,55,5,70,0.0,0.0,0.0,11,5.0,78.57,7.14,0.0,0.0,0.0,16.0,2.0
306,M Shahrukh Khan,270,32,236,0.0,0.0,0.0,18,15.0,114.41,13.56,0.0,0.0,0.0,7.0,0.0
307,M Theekshana,7,1,7,12.0,212.0,267.0,9,0.78,100.0,14.29,7.56,22.25,17.67,0.0,0.0
308,M Vijay,2619,338,2208,0.0,37.0,49.0,105,24.94,118.61,15.31,7.95,490000.0,370000.0,48.0,0.0
309,M Vohra,1073,146,852,0.0,0.0,0.0,50,21.46,125.94,17.14,0.0,0.0,0.0,13.0,0.0
310,M de Lange,1,0,2,5.0,116.0,171.0,5,0.2,50.0,0.0,8.84,34.2,23.2,0.0,0.0
311,MA Agarwal,2335,319,1803,0.0,0.0,0.0,107,21.82,129.51,17.69,0.0,0.0,0.0,51.0,0.0
312,MA Khote,24,3,22,2.0,30.0,52.0,3,8.0,109.09,13.64,10.4,26.0,15.0,0.0,0.0
313,MA Starc,96,10,98,34.0,612.0,725.0,26,3.69,97.96,10.2,7.11,21.32,18.0,16.0,0.0
314,MA Wood,1,0,5,0.0,25.0,50.0,1,1.0,20.0,0.0,12.0,500000.0,250000.0,1.0,0.0
315,MC Henriques,1000,115,801,42.0,979.0,1302.0,62,16.13,124.84,14.36,7.98,31.0,23.31,29.0,0.0
316,MC Juneja,125,12,134,0.0,0.0,0.0,7,17.86,93.28,8.96,0.0,0.0,0.0,0.0,0.0
317,MD Mishra,237,32,213,0.0,0.0,0.0,17,13.94,111.27,15.02,0.0,0.0,0.0,1.0,0.0
318,MDKJ Perera,14,3,13,0.0,0.0,0.0,2,7.0,107.69,23.08,0.0,0.0,0.0,0.0,0.0
319,MEK Hussey,1977,250,1648,0.0,0.0,0.0,58,34.09,119.96,15.17,0.0,0.0,0.0,26.0,0.0
320,MF Maharoof,177,21,124,27.0,441.0,532.0,20,8.85,142.74,16.94,7.24,19.7,16.33,4.0,0.0
321,MG Johnson,167,17,168,62.0,1301.0,1740.0,54,3.09,99.4,10.12,8.02,28.06,20.98,15.0,0.0
322,MJ Clarke,98,12,96,2.0,66.0,72.0,6,16.33,102.08,12.5,6.55,36.0,33.0,1.0,0.0
323,MJ Guptill,271,39,197,0.0,0.0,0.0,13,20.85,137.56,19.8,0.0,0.0,0.0,7.0,0.0
324,MJ Lumb,278,51,198,0.0,0.0,0.0,12,23.17,140.4,25.76,0.0,0.0,0.0,5.0,0.0
325,MJ McClenaghan,85,12,73,71.0,1346.0,1839.0,56,1.52,116.44,16.44,8.2,25.9,18.96,1.0,0.0
326,MJ Santner,54,6,55,10.0,244.0,282.0,12,4.5,98.18,10.91,6.93,28.2,24.4,4.0,0.0
327,MK Lomror,267,28,214,1.0,73.0,92.0,17,15.71,124.77,13.08,7.56,91.99,72.99,4.0,0.0
328,MK Pandey,3657,424,3106,0.0,0.0,0.0,148,24.71,117.74,13.65,0.0,0.0,0.0,78.0,0.0
329,MK Tiwary,1695,196,1489,1.0,45.0,83.0,85,19.94,113.83,13.16,11.07,82.99,45.0,47.0,0.0
330,ML Hayden,1107,165,839,0.0,0.0,0.0,32,34.59,131.94,19.67,0.0,0.0,0.0,11.0,0.0
331,MM Ali,910,129,652,24.0,564.0,631.0,44,20.68,139.57,19.79,6.71,26.29,23.5,15.0,0.0
332,MM Patel,39,5,41,74.0,1382.0,1733.0,63,0.62,95.12,12.2,7.52,23.42,18.68,12.0,0.0
333,MM Sharma,122,13,120,92.0,1795.0,2488.0,86,1.42,101.67,10.83,8.32,27.04,19.51,16.0,0.0
334,MN Samuels,161,16,174,9.0,219.0,285.0,15,10.73,92.53,9.2,7.81,31.67,24.33,2.0,0.0
335,MN van Wyk,167,20,135,0.0,0.0,0.0,5,33.4,123.7,14.81,0.0,0.0,0.0,7.0,0.0
336,MP Stoinis,1070,131,813,34.0,675.0,1072.0,67,15.97,131.61,16.11,9.53,31.53,19.85,16.0,0.0
337,MR Marsh,476,56,394,24.0,407.0,528.0,29,16.41,120.81,14.21,7.78,22.0,16.96,7.0,0.0
338,MS Bisla,798,116,737,0.0,0.0,0.0,39,20.46,108.28,15.74,0.0,0.0,0.0,20.0,7.0
339,MS Dhoni,4978,575,3802,0.0,0.0,0.0,205,24.28,130.93,15.12,0.0,0.0,0.0,135.0,39.0
340,MS Gony,99,14,76,37.0,925.0,1317.0,44,2.25,130.26,18.42,8.54,35.59,25.0,4.0,0.0
341,MS Wade,179,25,178,0.0,0.0,0.0,13,13.77,100.56,14.04,0.0,0.0,0.0,7.0,1.0
342,MV Boucher,394,45,318,0.0,0.0,0.0,23,17.13,123.9,14.15,0.0,0.0,0.0,14.0,3.0
343,Mandeep Singh,1692,213,1402,0.0,12.0,26.0,94,18.0,120.68,15.19,13.0,260000.0,120000.0,38.0,0.0
344,Mashrafe Mortaza,2,0,2,0.0,28.0,59.0,1,2.0,100.0,0.0,12.64,590000.0,280000.0,0.0,0.0
345,Misbah-ul-Haq,117,16,82,0.0,0.0,0.0,8,14.62,142.68,19.51,0.0,0.0,0.0,1.0,0.0
346,Mohammad Ashraful,2,0,12,0.0,0.0,0.0,1,2.0,16.67,0.0,0.0,0.0,0.0,2.0,0.0
347,Mohammad Asif,3,0,6,8.0,199.0,307.0,8,0.38,50.0,0.0,9.26,38.37,24.87,0.0,0.0
348,Mohammad Hafeez,64,9,84,2.0,63.0,71.0,8,8.0,76.19,10.71,6.76,35.5,31.5,1.0,0.0
349,Mohammad Nabi,186,26,126,13.0,345.0,417.0,17,10.94,147.62,20.63,7.25,32.08,26.54,11.0,0.0
350,Mohammed Shami,69,7,74,99.0,2118.0,2954.0,93,0.74,93.24,9.46,8.37,29.84,21.39,13.0,0.0
351,Mohammed Siraj,96,12,111,59.0,1402.0,1992.0,65,1.48,86.49,10.81,8.52,33.76,23.76,21.0,0.0
352,Mohsin Khan,23,3,19,14.0,206.0,202.0,9,2.56,121.05,15.79,5.88,14.43,14.71,1.0,0.0
353,Mujeeb Ur Rahman,12,2,15,19.0,452.0,598.0,19,0.63,80.0,13.33,7.94,31.47,23.79,2.0,0.0
354,Mukesh Choudhary,6,1,6,16.0,291.0,425.0,13,0.46,100.0,16.67,8.76,26.56,18.19,3.0,0.0
355,Mustafizur Rahman,12,1,22,46.0,1086.0,1389.0,46,0.26,54.55,4.55,7.67,30.2,23.61,4.0,0.0
356,N Jagadeesan,73,8,71,0.0,0.0,0.0,4,18.25,102.82,11.27,0.0,0.0,0.0,0.0,0.0
357,N Pooran,912,117,630,0.0,0.0,0.0,43,21.21,144.76,18.57,0.0,0.0,0.0,19.0,1.0
358,N Rana,2181,301,1677,7.0,131.0,178.0,87,25.07,130.05,17.95,8.15,25.43,18.71,21.0,0.0
359,N Saini,140,16,143,0.0,0.0,0.0,10,14.0,97.9,11.19,0.0,0.0,0.0,11.0,2.0
360,ND Doshi,0,0,13,2.0,57.0,79.0,4,0.0,0.0,0.0,8.32,39.5,28.5,0.0,0.0
361,NJ Maddinson,20,4,21,0.0,0.0,0.0,3,6.67,95.24,19.05,0.0,0.0,0.0,1.0,0.0
362,NJ Rimmington,1,0,1,0.0,18.0,20.0,1,1.0,100.0,0.0,6.67,200000.0,180000.0,0.0,0.0
363,NK Patel,121,15,124,0.0,0.0,0.0,6,20.17,97.58,12.1,0.0,0.0,0.0,6.0,0.0
364,NL McCullum,26,1,23,0.0,30.0,35.0,2,13.0,113.04,4.35,7.0,350000.0,300000.0,1.0,0.0
365,NLTC Perera,424,49,326,31.0,715.0,1031.0,37,11.46,130.06,15.03,8.65,33.26,23.06,13.0,0.0
366,NM Coulter-Nile,82,11,75,48.0,892.0,1125.0,38,2.16,109.33,14.67,7.57,23.44,18.58,10.0,0.0
367,NS Naik,31,2,53,0.0,0.0,0.0,4,7.75,58.49,3.77,0.0,0.0,0.0,3.0,0.0
368,NT Ellis,18,1,19,4.0,108.0,148.0,5,3.6,94.74,5.26,8.22,37.0,27.0,1.0,0.0
369,NV Ojha,1554,200,1360,0.0,0.0,0.0,94,16.53,114.26,14.71,0.0,0.0,0.0,65.0,10.0
370,Navdeep Saini,33,3,38,21.0,657.0,928.0,30,1.1,86.84,7.89,8.47,44.19,31.29,8.0,0.0
371,OA Shah,506,57,405,0.0,0.0,0.0,22,23.0,124.94,14.07,0.0,0.0,0.0,7.0,0.0
372,OC McCoy,8,1,5,11.0,173.0,242.0,7,1.14,160.0,20.0,8.39,22.0,15.73,1.0,0.0
373,OF Smith,51,6,50,6.0,95.0,179.0,6,8.5,102.0,12.0,11.31,29.83,15.83,2.0,0.0
374,P Awana,5,0,14,39.0,774.0,1046.0,33,0.15,35.71,0.0,8.11,26.82,19.85,4.0,0.0
375,P Chopra,8,2,6,0.0,0.0,0.0,1,8.0,133.33,33.33,0.0,0.0,0.0,1.0,0.0
376,P Dogra,127,9,141,0.0,0.0,0.0,12,10.58,90.07,6.38,0.0,0.0,0.0,5.0,0.0
377,P Dubey,7,0,13,0.0,48.0,72.0,3,2.33,53.85,0.0,9.0,720000.0,480000.0,1.0,0.0
378,P Kumar,340,39,323,90.0,2637.0,3342.0,119,2.86,105.26,12.07,7.6,37.13,29.3,13.0,0.0
379,P Negi,365,43,301,34.0,733.0,954.0,46,7.93,121.26,14.29,7.81,28.06,21.56,16.0,0.0
380,P Parameswaran,1,0,3,9.0,159.0,226.0,8,0.12,33.33,0.0,8.53,25.11,17.67,0.0,0.0
381,P Ray Barman,19,2,25,0.0,24.0,56.0,1,19.0,76.0,8.0,14.0,560000.0,240000.0,0.0,0.0
382,P Sahu,19,2,13,3.0,107.0,152.0,5,3.8,146.15,15.38,8.52,50.66,35.67,0.0,0.0
383,P Simran Singh,64,8,67,0.0,0.0,0.0,6,10.67,95.52,11.94,0.0,0.0,0.0,2.0,0.0
384,PA Patel,2848,414,2442,0.0,0.0,0.0,136,20.94,116.63,16.95,0.0,0.0,0.0,69.0,16.0
385,PA Reddy,164,17,167,0.0,0.0,0.0,10,16.4,98.2,10.18,0.0,0.0,0.0,2.0,0.0
386,PBB Rajapaksa,206,29,137,0.0,0.0,0.0,9,22.89,150.36,21.17,0.0,0.0,0.0,4.0,0.0
387,PC Valthaty,505,81,432,7.0,153.0,207.0,23,21.96,116.9,18.75,8.12,29.57,21.86,3.0,0.0
388,PD Collingwood,203,22,159,5.0,90.0,101.0,7,29.0,127.67,13.84,6.73,20.2,18.0,3.0,0.0
389,PJ Cummins,379,50,260,45.0,995.0,1405.0,42,9.02,145.77,19.23,8.47,31.22,22.11,8.0,0.0
390,PJ Sangwan,26,1,47,38.0,905.0,1267.0,42,0.62,55.32,2.13,8.4,33.34,23.82,8.0,0.0
391,PK Garg,251,24,224,0.0,0.0,0.0,17,14.76,112.05,10.71,0.0,0.0,0.0,11.0,0.0
392,PM Sarvesh Kumar,1,0,2,1.0,31.0,42.0,2,0.5,50.0,0.0,8.13,42.0,31.0,0.0,0.0
393,PN Mankad,4,1,1,0.0,0.0,0.0,1,4.0,400.0,100.0,0.0,0.0,0.0,1.0,0.0
394,PP Chawla,584,72,543,157.0,3309.0,4368.0,165,3.54,107.55,13.26,7.92,27.82,21.08,35.0,0.0
395,PP Ojha,16,0,45,89.0,1945.0,2399.0,90,0.18,35.56,0.0,7.4,26.96,21.85,14.0,0.0
396,PP Shaw,1588,247,1106,0.0,0.0,0.0,63,25.21,143.58,22.33,0.0,0.0,0.0,15.0,0.0
397,PR Shah,92,11,97,0.0,0.0,0.0,9,10.22,94.85,11.34,0.0,0.0,0.0,10.0,3.0
398,PSP Handscomb,6,0,12,0.0,0.0,0.0,1,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
399,PV Tambe,18,1,39,28.0,674.0,866.0,33,0.55,46.15,2.56,7.71,30.93,24.07,1.0,0.0
400,PVD Chameera,43,6,32,9.0,278.0,393.0,12,3.58,134.38,18.75,8.48,43.67,30.89,2.0,0.0
401,PWH de Silva,39,5,50,26.0,382.0,499.0,18,2.17,78.0,10.0,7.84,19.19,14.69,1.0,0.0
402,Pankaj Singh,7,0,12,11.0,311.0,472.0,17,0.41,58.33,0.0,9.11,42.91,28.27,2.0,0.0
403,Parvez Rasool,17,1,20,4.0,200.0,273.0,11,1.55,85.0,5.0,8.19,68.25,50.0,3.0,0.0
404,Q de Kock,2767,383,2113,0.0,0.0,0.0,92,30.08,130.95,18.13,0.0,0.0,0.0,65.0,15.0
405,R Ashwin,647,72,567,157.0,4024.0,4596.0,181,3.57,114.11,12.7,6.85,29.27,25.63,36.0,0.0
406,R Bhatia,342,37,290,71.0,1661.0,2059.0,94,3.64,117.93,12.76,7.44,29.0,23.39,23.0,0.0
407,R Bishnoi,19,3,17,0.0,0.0,0.0,3,6.33,111.76,17.65,0.0,0.0,0.0,1.0,0.0
408,R Dhawan,190,23,176,24.0,632.0,819.0,31,6.13,107.95,13.07,7.78,34.12,26.33,10.0,0.0
409,R Dravid,2174,297,1918,0.0,0.0,0.0,82,26.51,113.35,15.48,0.0,0.0,0.0,18.0,0.0
410,R McLaren,159,15,178,12.0,372.0,558.0,18,8.83,89.33,8.43,9.0,46.5,31.0,5.0,0.0
411,R Ninan,3,0,6,3.0,36.0,65.0,2,1.5,50.0,0.0,10.83,21.67,12.0,1.0,0.0
412,R Parag,522,62,434,4.0,162.0,280.0,40,13.05,120.28,14.29,10.37,70.0,40.5,29.0,0.0
413,R Powell,250,32,174,0.0,7.0,17.0,12,20.83,143.68,18.39,14.57,170000.0,70000.0,11.0,0.0
414,R Rampaul,51,5,52,16.0,278.0,319.0,12,4.25,98.08,9.62,6.88,19.94,17.37,4.0,0.0
415,R Sanjay Yadav,0,0,2,0.0,14.0,23.0,1,0.0,0.0,0.0,9.86,230000.0,140000.0,0.0,0.0
416,R Sathish,270,28,236,3.0,144.0,233.0,27,10.0,114.41,11.86,9.71,77.66,48.0,8.0,0.0
417,R Sharma,66,8,77,40.0,935.0,1100.0,44,1.5,85.71,10.39,7.06,27.5,23.37,10.0,0.0
418,R Shepherd,58,7,43,3.0,57.0,98.0,3,19.33,134.88,16.28,10.32,32.67,19.0,0.0,0.0
419,R Shukla,19,2,23,5.0,130.0,217.0,7,2.71,82.61,8.7,10.02,43.4,26.0,3.0,0.0
420,R Tewatia,738,92,588,32.0,852.0,1102.0,60,12.3,125.51,15.65,7.76,34.44,26.62,27.0,0.0
421,R Vinay Kumar,310,30,289,105.0,2186.0,3041.0,104,2.98,107.27,10.38,8.35,28.96,20.82,32.0,0.0
422,RA Bawa,11,1,14,0.0,0.0,0.0,2,5.5,78.57,7.14,0.0,0.0,0.0,0.0,0.0
423,RA Jadeja,2502,272,2049,132.0,3262.0,4114.0,202,12.39,122.11,13.27,7.57,31.17,24.71,84.0,0.0
424,RA Tripathi,1798,244,1312,0.0,6.0,12.0,74,24.3,137.04,18.6,12.0,120000.0,60000.0,29.0,0.0
425,RD Chahar,108,14,102,57.0,1207.0,1497.0,54,2.0,105.88,13.73,7.44,26.26,21.18,14.0,0.0
426,RD Gaikwad,1207,156,945,0.0,0.0,0.0,36,33.53,127.72,16.51,0.0,0.0,0.0,14.0,0.0
427,RE Levi,83,14,74,0.0,0.0,0.0,6,13.83,112.16,18.92,0.0,0.0,0.0,2.0,0.0
428,RE van der Merwe,159,19,144,21.0,455.0,515.0,21,7.57,110.42,13.19,6.79,24.52,21.67,6.0,0.0
429,RG More,2,0,2,1.0,37.0,63.0,2,1.0,100.0,0.0,10.22,62.99,37.0,1.0,0.0
430,RG Sharma,5881,760,4632,15.0,349.0,462.0,221,26.61,126.96,16.41,7.94,30.8,23.27,96.0,0.0
431,RJ Harris,117,9,112,45.0,865.0,1085.0,37,3.16,104.46,8.04,7.53,24.11,19.22,18.0,0.0
432,RJ Peterson,32,4,32,3.0,48.0,70.0,5,6.4,100.0,12.5,8.75,23.33,16.0,1.0,0.0
433,RJ Quiney,103,15,105,0.0,0.0,0.0,7,14.71,98.1,14.29,0.0,0.0,0.0,2.0,0.0
434,RK Bhui,7,0,18,0.0,0.0,0.0,2,3.5,38.89,0.0,0.0,0.0,0.0,0.0,0.0
435,RK Singh,251,32,204,0.0,0.0,0.0,15,16.73,123.04,15.69,0.0,0.0,0.0,17.0,0.0
436,RM Patidar,404,51,297,0.0,0.0,0.0,11,36.73,136.03,17.17,0.0,0.0,0.0,5.0,0.0
437,RN ten Doeschate,326,41,238,2.0,83.0,94.0,23,14.17,136.97,17.23,6.8,47.0,41.5,7.0,0.0
438,RP Meredith,0,0,1,12.0,289.0,412.0,13,0.0,0.0,0.0,8.55,34.33,24.08,1.0,0.0
439,RP Singh,52,3,78,90.0,1874.0,2417.0,82,0.63,66.67,3.85,7.74,26.86,20.82,27.0,0.0
440,RR Bhatkal,0,0,2,0.0,12.0,35.0,1,0.0,0.0,0.0,17.5,350000.0,120000.0,1.0,0.0
441,RR Pant,2851,391,2000,0.0,0.0,0.0,97,29.39,142.55,19.55,0.0,0.0,0.0,64.0,18.0
442,RR Powar,67,7,64,13.0,443.0,538.0,26,2.58,104.69,10.94,7.29,41.38,34.08,5.0,0.0
443,RR Raje,20,2,18,6.0,144.0,214.0,10,2.0,111.11,11.11,8.92,35.67,24.0,3.0,0.0
